event_name,event_date,r_fighter,b_fighter,winner,weight_class,method,r_fights_prior,b_fights_prior,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,SLpM_total_diff,SApM_total_diff,wins_total_diff,losses_total_diff,reach_diff,height_diff,age_diff,weight_diff
UFC 8: David vs Goliath,1996-02-16,Gary Goodridge,Jerry Bohlander,Red,Open Weight,KO/TKO,1,0,0.3333333333333333,0.3333333333333333,0.4285714285714286,1.0,0.0,6.716417910447761,0.8955223880597015,5.3731343283582085,0,1,,10.159999999999997,8.0,22.679999999999993
UFC 8: David vs Goliath,1996-02-16,Don Frye,Sam Adkins,Red,Open Weight,TKO - Doctor's Stoppage,1,0,0.5714285714285714,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,5.3731343283582085,0.8955223880597015,1,0,,-5.0800000000000125,0.0,-2.719999999999999
UFC 8: David vs Goliath,1996-02-16,Gary Goodridge,Paul Herrera,Red,Open Weight,KO/TKO,2,0,0.4166666666666667,0.5,0.5517241379310345,1.0,1.9354838709677418,3.8709677419354835,0.6451612903225806,1.6774193548387097,1,1,,12.699999999999989,,29.03
UFC 8: David vs Goliath,1996-02-16,Jerry Bohlander,Scott Ferrozzo,Red,Open Weight,Submission,1,0,0.125,0.0,0.5,0.0,0.0,0.0,0.18126888217522658,0.5438066465256798,0,1,,0.0,-8.0,-56.249999999999986
UFC 8: David vs Goliath,1996-02-16,Paul Varelans,Joe Moreira,Red,Open Weight,Decision - Unanimous,6,0,0.41935483870967744,0.3333333333333333,0.5126050420168067,0.6666666666666667,2.329594477998275,1.5530629853321833,1.3459879206212255,3.0025884383088877,3,3,,22.859999999999985,,47.63000000000001
UFC 8: David vs Goliath,1996-02-16,Don Frye,Thomas Ramirez,Red,Open Weight,KO/TKO,2,0,0.5666666666666667,0.5,0.7777777777777778,0.75,0.0,4.945054945054945,5.604395604395605,0.6593406593406593,2,0,,0.0,,-86.63
UFC 8: David vs Goliath,1996-02-16,Sam Adkins,Keith Mielke,Red,Open Weight,KO/TKO,1,0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,6.25,0,1,,17.78,,18.15000000000001
UFC 9: Motor City Madness,1996-05-17,Dan Severn,Ken Shamrock,Red,UFC Superfight Championship,Decision - Split,10,4,-0.18128654970760227,0.0,0.42708333333333337,0.0,-2.9412485180672485,-0.19751273547756254,1.0607702325556425,-0.12128610790181815,4,2,,2.5400000000000205,5.0,20.41000000000001
UFC 9: Motor City Madness,1996-05-17,Don Frye,Amaury Bitetti,Red,Open Weight,KO/TKO,3,0,0.5882352941176471,0.3333333333333333,0.7272727272727273,0.8,0.0,4.7368421052631575,6.315789473684211,0.9473684210526316,3,0,,10.159999999999997,,15.430000000000009
UFC 9: Motor City Madness,1996-05-17,Mark Hall,Koji Kitao,Red,Open Weight,TKO - Doctor's Stoppage,3,0,0.5,0.3333333333333333,0.33333333333333337,0.5,1.8329938900203666,1.8329938900203666,0.48879837067209775,0.7331975560081466,2,1,,-17.78,,-72.57999999999998
